FilialID_TACC;nm_filial;V_Meta_Ativados;Qtd_Aprovacoes;Qtd_Aprovacoes_ly;Qtd_Propostas;Taxa_de_Aprovação;Q_Venda_Não_Cartão;Taxa_de_Aproveitamento;Taxa_de_Aproveitamento_ly;PCJ;V_Meta_Padrao_PCJ;Alcance_PCJ;Dif_PCJ_LY;Participação;V_Meta_Padrao_Participacao;Alcance_Participacao;Dif_Participação_LY;Data_HoraID;;;;;;;;
133;SALVADOR;15;18;18;77;0,233766234;269;0,286245353;0,286245353;0,42035031;0,3012;0,11915031;0,034906153;0,325406153;0,2905;0,034906153;0,034906153;46107,70833;;;;;;;;
18;TAUBATE;10;18;18;44;0,409090909;373;0,117962466;0,117962466;0,336572644;0,3328;0,003772644;0,014893328;0,379593328;0,3647;0,014893328;0,014893328;46107,70833;;;;;;;;
33;LARGO 13;10;11;11;30;0,366666667;394;0,076142132;0,076142132;0,399018483;0,326;0,073018483;0,009144235;0,310844235;0,3017;0,009144235;0,009144235;46107,70833;;;;;;;;
45;CAMPINAS;23;9;9;55;0,163636364;579;0,094991364;0,094991364;0,168907129;0,262;-0,093092871;-0,015811731;0,305688269;0,3215;-0,015811731;-0,015811731;46107,70833;;;;;;;;
66;ARACAJU;16;14;14;85;0,164705882;352;0,241477273;0,241477273;0,277318093;0,3493;-0,071981907;0,032043643;0,414043643;0,382;0,032043643;0,032043643;46107,70833;;;;;;;;
101;PONTA GROSSA;4;8;8;23;0,347826087;199;0,115577889;0,115577889;0,395520422;0,3454;0,050120422;0,058354429;0,397254429;0,3389;0,058354429;0,058354429;46107,70833;;;;;;;;
103;JOAO PESSOA;13;7;7;39;0,179487179;434;0,089861751;0,089861751;0,176906189;0,2836;-0,106693811;-0,017816445;0,310883555;0,3287;-0,017816445;-0,017816445;46107,70833;;;;;;;;
106;CAMPO GRANDE - RJ;19;13;13;62;0,209677419;224;0,276785714;0,276785714;0,39506325;0,2962;0,09886325;0,048485814;0,465285814;0,4168;0,048485814;0,048485814;46107,70833;;;;;;;;
119;VENDA NOVA;6;5;5;26;0,192307692;195;0,133333333;0,133333333;0,195140202;0,2976;-0,102459798;-0,007828922;0,280871078;0,2887;-0,007828922;-0,007828922;46107,70833;;;;;;;;
134;CAUCAIA;5;5;5;67;0,074626866;244;0,274590164;0,274590164;0,249830018;0,2791;-0,029269982;-0,029352195;0,237647805;0,267;-0,029352195;-0,029352195;46107,70833;;;;;;;;
19;PIRACICABA;4;1;1;17;0,058823529;328;0,051829268;0,051829268;0,389558107;0,2662;0,123358107;-0,020439368;0,331160632;0,3516;-0,020439368;-0,020439368;46107,70833;;;;;;;;
21;ITAPETININGA;6;1;1;9;0,111111111;163;0,055214724;0,055214724;0,186894377;0,282;-0,095105623;-0,001013725;0,385586275;0,3866;-0,001013725;-0,001013725;46107,70833;;;;;;;;
22;SÃO JOSE DOS CAMPOS;17;8;8;48;0,166666667;538;0,089219331;0,089219331;0,293920089;0,262;0,031920089;-0,048930769;0,273569231;0,3225;-0,048930769;-0,048930769;46107,70833;;;;;;;;
23;PRESIDENTE PRUDENTE;10;8;8;26;0,307692308;354;0,073446328;0,073446328;0,290449393;0,268;0,022449393;-0,073815948;0,306384052;0,3802;-0,073815948;-0,073815948;46107,70833;;;;;;;;
25;SAO BERNARDO;11;12;12;49;0,244897959;750;0,065333333;0,065333333;0,210882366;0,262;-0,051117634;-0,016744364;0,269655636;0,2864;-0,016744364;-0,016744364;46107,70833;;;;;;;;
26;SAO MIGUEL;9;5;5;34;0,147058824;246;0,138211382;0,138211382;0,45569229;0,44;0,01569229;-0,07817469;0,23362531;0,3118;-0,07817469;-0,07817469;46107,70833;;;;;;;;
